id,parent_id,slug,name_en,name_ar
777,3,people-of-the-sunnah-and-the-community,People of the Sunnah and the Community,أهل السنة والجماعة
778,3,sects-and-schools,Sects and Schools,الفرق والمذاهب
779,59,oneness-of-allahs-lordship,Oneness of Allah's Lordship,توحيد الربوبية
780,59,oneness-of-allahs-worship,Oneness of Allah's Worship,توحيد الألوهية
781,59,oneness-of-allahs-names-and-attributes,Oneness of Allah's Names and Attributes,توحيد الأسماء والصفات
782,60,the-angels,The Angels,الملائكة
783,60,the-jinn,The Jinn,الجن
784,61,pre-islamic-scriptures,Pre-Islamic Scriptures,الكتب السابقة
785,61,the-quran,The Qur'an,القرآن
786,62,prophethood,Prophethood,النبوة
787,62,pre-islamic-prophets-and-messengers;-peace-be-upon-them,Pre-Islamic Prophets and Messengers; peace be upon them,الأنبياء والرسل السابقين عليهم السلام
788,62,our-prophet-muhammad;-may-allahs-peace-and-blessings-be-upon-him,Our Prophet Muhammad; may Allah's peace and blessings be upon him,نبينا محمد صلى الله عليه وسلم
789,62,miracles-of-the-pious-allies-of-allah,Miracles of the Pious Allies of Allah,كرامات الأولياء
790,63,the-barzakh-life-after-death-period,The Barzakh Life (After death Period),الحياة البرزخية
791,63,portents-of-the-hour,Portents of the Hour,أشراط الساعة
792,63,the-hereafter-life,The Hereafter Life,الحياة الآخرة
793,64,levels-of-divine-decree-and-fate,Levels of Divine Decree and Fate,مراتب القضاء والقدر
794,64,issues-of-divine-decree-and-fate,Issues of Divine Decree and Fate,مسائل القضاء والقدر
795,65,islam,Islam,الإسلام
796,65,nullifiers-of-islam,Nullifiers of Islam,نواقض الإسلام
797,65,issues-of-pre-islamic-era,Issues of Pre-Islamic Era,مسائل الجاهلية
798,65,increase-and-decrease-of-faith,Increase and Decrease of Faith,زيادة الإيمان ونقصانه
799,65,branches-of-faith,Branches of Faith,شعب الإيمان
800,65,disbelief,Disbelief,الكفر
801,65,polytheism,Polytheism,الشرك
802,65,hypocrisy,Hypocrisy,النفاق
803,65,immorality,Immorality,الفسق
804,65,religious-innovation,Religious Innovation,البدعة
805,66,merit-of-the-companions,Merit of the Companions,فضل الصحابة رضي الله عنهم
806,66,belief-in-the-the-companions,Belief in the the Companions,الاعتقاد في الصحابة رضي الله عنهم
807,66,degrees-of-the-companions,Degrees of the Companions,درجات الصحابة رضي الله عنهم
808,67,merit-of-the-prophets-family,Merit of the Prophet's Family,فضل آل البيت
809,67,merit-of-the-mothers-of-the-believers,Merit of the Mothers of the Believers,فضل أمهات المؤمنين
810,67,belief-in-the-prophets-family,Belief in the Prophet's Family,الاعتقاد في آل البيت
811,67,rights-of-the-prophets-family,Rights of the Prophet's Family,حقوق آل البيت
812,68,rulings-of-allegiance-and-dissociation,Rulings of Allegiance and Dissociation,أحكام الولاء والبراء
813,68,forbidden-emulation,Forbidden Emulation,التشبه المنهي عنه
814,68,emigration-and-its-rulings,Emigration and its Rulings,الهجرة وأحكامها
815,68,desertion-and-its-conditions,Desertion and its Conditions,الهجر وشروطه
816,69,characteristics-of-the-people-of-the-sunnah-and-the-community,Characteristics of the People of the Sunnah and the Community,خصائص أهل السنة والجماعة
817,71,old-sects-and-schools,Old Sects and Schools,الفرق والمذاهب القديمة النشأة
818,4,jurisprudence-of-acts-of-worship,Jurisprudence of Acts of Worship,فقه العبادات
819,4,jurisprudence-of-transactions,Jurisprudence of Transactions,فقه المعاملات
820,4,religious-obligations,Religious Obligations,الفرائض
821,4,family-jurisprudence,Family Jurisprudence,فقه الأسرة
822,4,spiritual-and-physical-therapy,Spiritual and Physical Therapy,الطب والتداوي والرقية الشرعية
823,4,foods-and-drinks,Foods and Drinks,الأطعمة والأشربة
824,4,crimes,Crimes,الجنايات
825,4,prescribed-punishments,Prescribed Punishments,الحدود
826,4,judiciary,Judiciary,القضاء
827,4,principles-of-islamic-jurisprudence,Principles of Islamic Jurisprudence,أصول الفقه
828,121,purification,Purification,الطهارة
829,121,prayer,Prayer,الصلاة
830,121,funerals,Funerals,الجنائز
831,121,zakah,Zakah,الزكاة
832,121,fasting,Fasting,الصيام
833,121,hajj-and-‘umrah,Hajj and ‘Umrah,الحج والعمرة
834,121,jihad,Jihad,الجهاد
835,122,sales,Sales,البيوع
836,140,conditions-of-sale,Conditions of Sale,شروط البيع
837,140,sale-related-stipulations,Sale-Related Stipulations,الشروط في البيع
838,140,selling-assets-and-fruits,Selling Assets and Fruits,بيع الأصول والثمار
839,122,advance-payment,Advance Payment,السلم
840,122,usury,Usury,الربا
841,122,loan,Loan,القرض
842,122,mortgage,Mortgage,الرهن
843,122,collateral-and-surety,Collateral and Surety,الضمان والكفالة
844,122,conciliation-and-neighborhood-rulings,Conciliation and Neighborhood Rulings,الصلح وأحكام الجوار
845,122,interdiction,Interdiction,الحَجْر
846,122,partnership,Partnership,الشركة
847,122,sharecropping,Sharecropping,المساقاة والمزارعة
848,122,racing-and-gambling,Racing and Gambling,السبق والقمار والميسر
849,122,usurpation,Usurpation,الغصب
850,122,preemption,Preemption,الشفعة
851,122,found-item-and-foundling,Found Item and Foundling,اللقطة واللقيط
852,122,endowment,Endowment,الوقف
853,122,gift,Gift,الهبة والعطية
854,122,bequest,Bequest,الوصية
855,122,manumission,Manumission,العتق
856,122,oaths-and-vows,Oaths and Vows,الأيمان والنذور
857,123,conditions-of-inheritance,Conditions of Inheritance,شروط الإرث
858,123,impediments-of-inheritance,Impediments of Inheritance,موانع الإرث
859,123,agnates,Agnates,العـصبة
860,123,inheritance-shares-of-blood-relatives,Inheritance Shares of Blood Relatives,ميراث ذوي الأرحام
861,123,inheritance-shares-of-embryos,Inheritance Shares of Embryos,ميراث الحمل
862,124,marriage,Marriage,النكاح
863,124,divorce,Divorce,الطلاق
864,124,remarriage-with-ones-divorcee,Remarriage with One's Divorcee,الرجعة
865,124,wife-initiated-divorce,Wife-Initiated Divorce,الخلع
866,124,oath-to-abstain-from-intercourse-with-ones-wife,Oath to Abstain from Intercourse with One's Wife,الإيلاء
867,124,zihaar-likening-ones-wife-to-an-unmarrriagble-woman,Zihaar (Likening one's wife to an unmarrriagble woman),الظهار
868,124,oath-of-condemnation,Oath of Condemnation,اللعان
869,124,waiting-period,Waiting Period,العدة
870,124,breastfeeding,Breastfeeding,الرضاع
871,124,custody,Custody,الحضانة
872,124,expenses,Expenses,النفقات
873,124,clothing-and-adornment,Clothing and Adornment,اللباس والزينة
874,124,muslim-society,Muslim Society,المجتمع المسلم
875,124,rulings-of-women,Rulings of Women,أحكام النساء
876,124,rulings-of-newborns,Rulings of Newborns,أحكام المولود
877,125,prophetic-medicine,Prophetic Medicine,الطب النبوي
878,125,rulings-of-medication,Rulings of Medication,أحكام التداوي
879,125,ruqyah-healing-and-protective-supplications,Ruqyah (Healing and Protective Supplications),الرقية الشرعية
880,126,rulings-of-foods-and-drinks,Rulings of Foods and Drinks,أحكام الأطعمة والأشربة
881,126,lawful-and-unlawful-animals-and-birds,Lawful and Unlawful Animals and Birds,ما يحل ويحرم من الحيوانات والطيور
882,126,slaughtering,Slaughtering,التذكية
883,126,hunting,Hunting,الصيد
884,126,forbidden-drinks,Forbidden Drinks,الأشربة المحرمة
885,127,retribution,Retribution,القصاص
886,127,blood-money,Blood Money,الديات
887,128,rulings-of-prescribed-punishments,Rulings of Prescribed Punishments,أحكام الحدود
888,128,conditions-of-implementing-prescribed-punishments,Conditions of implementing Prescribed Punishments,شروط إقامة الحدود
889,128,prescribed-punishment-for-adultery,Prescribed Punishment for Adultery,حد الزنا
890,128,prescribed-punishment-for-calumny,Prescribed Punishment for Calumny,حد القذف
891,128,prescribed-punishment-for-drinking-alcohol,Prescribed Punishment for Drinking Alcohol,حد الخمر
892,128,prescribed-punishment-for-theft,Prescribed Punishment for Theft,حد السرقة
893,128,prescribed-punishment-for-highway-robbery,Prescribed Punishment for Highway Robbery,حد قطاع الطريق
894,128,prescribed-punishment-for-apostasy,Prescribed Punishment for Apostasy,حد الردة
895,128,rulings-of-discretionary-punishments,Rulings of Discretionary Punishments,أحكام التعزير
896,129,judiciary:-its-ruling;-merit;-and-significance,Judiciary: Its Ruling; Merit; and Significance,حكم القضاء وفضله وخطره
897,129,manners-of-judges,Manners of Judges,آداب القاضي
898,129,claims-and-proofs,Claims and Proofs,الدعاوى والبيِّنات
899,129,testimonies,Testimonies,الشهادات
900,132,shariah-ruling,Shariah Ruling,الحكم الشرعي
901,132,juristic-and-usooli-juristic-priciples-rules,Juristic and Usooli (Juristic Priciples) Rules,القواعد الفقهية والأصولية
902,132,religious-assignment-and-its-conditions,Religious Assignment and its Conditions,التكليف وشروطه
903,132,the-book-the-quran,The Book (the Qur'an),الكتاب (القرآن)
904,132,abrogation,Abrogation,النسخ
905,132,significations-and-inference,Significations and Inference,دلالات الألفاظ وكيفية الاستنباط
906,132,personal-reasoning-and-imitation,Personal Reasoning and Imitation,الاجتهاد والتقليد
907,132,divergence-and-preponderance,Divergence and Preponderance,التعارض والترجيح
908,132,shariah-objectives,Shariah Objectives,مقاصد الشريعة
909,5,virtues,Virtues,الفضائل
910,5,jurisprudence-of-ethics,Jurisprudence of Ethics,فقه الأخلاق
911,5,shariah-approved-manners,Shariah-approved Manners,الآداب الشرعية
912,5,jurisprudence-of-supplications-and-remembrance-of-allah,Jurisprudence of Supplications and Remembrance of Allah,فقه الأدعية والأذكار
913,5,heart-softeners-and-sermons,Heart-Softeners and Sermons,الرقائق والمواعظ
914,265,excellence-of-knowledge,Excellence of Knowledge,فضل العلم
915,265,excellence-of-monotheism,Excellence of Monotheism,فضائل التوحيد
916,265,merits-of-the-noble-quran,Merits of the Noble Qur'an,فضائل القرآن الكريم
917,265,merits-of-being-dutiful-to-ones-parents,Merits of Being Dutiful to One's Parents,فضائل بر الوالدين
918,265,merits-of-maintaining-kinship-ties,Merits of Maintaining Kinship Ties,فضائل صلة الأرحام
919,265,merits-of-prophets-family,Merits of Prophet's Family,فضائل آل البيت رضي الله عنهم
920,265,merits-of-the-companions,Merits of the Companions,فضائل الصحابة رضي الله عنهم
921,265,merits-of-good-deeds,Merits of Good Deeds,فضائل الأعمال الصالحة
922,265,merits-of-remembering-allah,Merits of Remembering Allah,فضائل الذكر
923,265,merits-of-supplication,Merits of Supplication,فضل الدعاء
924,265,merits-of-heart-acts,Merits of Heart Acts,فضائل أعمال القلوب
925,265,merits-of-organs-acts,Merits of Organs' Acts,فضائل أعمال الجوارح
926,266,praiseworthy-morals,Praiseworthy Morals,الأخلاق الحميدة
927,266,blameworthy-morals,Blameworthy Morals,الأخلاق الذميمة
928,267,manners-of-scholars-and-learners,Manners of Scholars and Learners,آداب العالم والمتعلم
929,267,etiquettes-of-reciting-the-noble-qur’an,Etiquettes of Reciting the Noble Qur’an,آداب تلاوة القرآن الكريم
930,267,manners-of-greeting-and-seeking-permission,Manners of Greeting and Seeking Permission,آداب السلام والاستئذان
931,267,manners-of-speaking-and-keeping-silent,Manners of Speaking and Keeping Silent,آداب الكلام والصمت
932,267,manners-of-divergence,Manners of Divergence,آداب الخلاف
933,267,manners-of-debate,Manners of Debate,آداب المناظرة
934,267,manners-of-eating-and-drinking,Manners of Eating and Drinking,آداب الأكل والشرب
935,267,manners-of-the-road-and-the-market,Manners of the Road and the Market,آداب الطريق والسوق
936,267,manners-and-rulings-of-travel,Manners and Rulings of Travel,آداب وأحكام السفر
937,267,manners-of-sleeping-and-waking-up,Manners of Sleeping and Waking Up,آداب النوم والاستيقاظ
938,267,manners-of-visions,Manners of Visions,آداب الرؤيا
939,267,manners-of-visiting-and-seeking-permission,Manners of Visiting and Seeking Permission,آداب الزيارة والاستئذان
940,267,manners-of-sneezing-and-yawning,Manners of Sneezing and Yawning,آداب العطاس والتثاؤب
941,267,manners-of-visiting-the-sick,Manners of Visiting the Sick,آداب عيادة المريض
942,267,manners-of-dressing,Manners of Dressing,آداب اللباس
943,268,prophetic-guidance-on-remembering-allah,Prophetic Guidance on Remembering Allah,هدي النبي صلى الله عليه وسلم في الذكر
944,268,benefits-of-remembering-allah,Benefits of Remembering Allah,فوائد ذكر الله عز وجل
945,268,morning-and-evening-dhikr,Morning and Evening Dhikr,أذكار الصباح والمساء
946,268,timeless-dhikr,Timeless Dhikr,الأذكار المطلقة
947,268,dhikr-on-entering-and-leaving-the-house,Dhikr on Entering and Leaving the House,أذكار الدخول والخروج من المنزل
948,268,dhikr-on-entering-and-leaving-the-bathroom,Dhikr on Entering and Leaving the Bathroom,أذكار الدخول والخروج من الخلاء
949,268,dhikr-on-entering-and-leaving-the-mosque,Dhikr on Entering and Leaving the Mosque,أذكار الدخول والخروج من المسجد
950,268,hard-times-dhikr,Hard Times Dhikr,الأذكار التي تقال في أوقات الشدة
951,268,dhikr-on-special-occasions,Dhikr on Special Occasions,الأذكار للأمور العارضة
952,268,rulings-of-supplication,Rulings of Supplication,أحكام الدعاء
953,268,types-of-supplication,Types of Supplication,أنواع الدعاء
954,268,manners-of-supplication,Manners of Supplication,آداب الدعاء
955,268,causes-for-answering-or-not-answering-supplications,Causes for Answering or not Answering Supplications,أسباب إجابة الدعاء وموانعه
956,268,reported-supplications,Reported Supplications,الأدعية المأثورة
957,269,acts-of-heart,Acts of Heart,أعمال القلوب
958,269,heart-diseases,Heart Diseases,أمراض القلوب
959,269,asceticism-and-piety,Asceticism and Piety,الزهد والورع
960,269,states-of-the-righteous-believers,States of the Righteous Believers,أحوال الصالحين
961,269,condemning-sins,Condemning Sins,ذم المعاصي
962,269,condemning-love-of-the-world,Condemning Love of the World,ذم حب الدنيا
963,269,condemning-whims-and-desires,Condemning Whims and Desires,ذَمُّ الهوى والشَّهوات
964,269,repentance,Repentance,التوبة
965,269,purification-of-souls,Purification of Souls,تزكية النفوس
966,269,terrors-of-the-graves,Terrors of the Graves,أهوال القبور
967,269,descriptions-of-paradise-and-hell,Descriptions of Paradise and Hell,صفات الجنة والنار
968,6,calling-to-allah-da‘wah,Calling to Allah (Da‘wah),الدعوة إلى الله
969,6,enjoining-good-and-forbidding-evil,Enjoining Good and Forbidding Evil,الأمر بالمعروف والنهي عن المنكر
970,6,shariah-approved-politics,Shariah-approved Politics,السياسة الشرعية
971,6,islamic-culture,Islamic Culture,الثقافة الإسلامية
972,325,ruling-of-calling-to-allah,Ruling of Calling to Allah,حكم الدعوة إلى الله
973,325,manners-of-calling-to-allah,Manners of Calling to Allah,آداب الدعوة إلى الله
974,325,backgrounds-and-duties-of-the-callers-to-allah,Backgrounds and Duties of the Callers to Allah,سير الدعاة وواجباتهم
975,325,excellence-and-merits-of-islam,Excellence and Merits of Islam,فضل الإسلام ومحاسنه
976,325,universality-of-islam,Universality of Islam,عموم الدين الإسلامي
977,325,human-rights-in-islam,Human Rights in Islam,حقوق الإنسان في الإسلام
978,325,animal-rights-in-islam,Animal Rights in Islam,حقوق الحيوان في الإسلام
979,326,ruling-of-enjoining-good-and-forbidding-evil,Ruling of Enjoining Good and Forbidding Evil,حكم الأمر بالمعروف والنهي عن المنكر
980,326,excellence-of-enjoining-good-and-forbidding-evil,Excellence of Enjoining Good and Forbidding Evil,فضل الأمر بالمعروف والنهي عن المنكر
981,326,manners-of-enjoining-good-and-forbidding-evil,Manners of Enjoining Good and Forbidding Evil,آداب الأمر بالمعروف والنهي عن المنكر
982,326,principles-of-enjoining-good-and-forbidding-evil,Principles of Enjoining Good and Forbidding Evil,أصول الأمر بالمعروف والنهي عن المنكر
983,326,requirements-of-enjoining-good-and-forbidding-evil,Requirements of Enjoining Good and Forbidding Evil,شروط الأمر بالمعروف والنهي عن المنكر
984,326,rulings-and-issues-of-enjoining-good-and-forbidding-evil,Rulings and Issues of Enjoining Good and Forbidding Evil,أحكام ومسائل متعلقة بالأمر بالمعروف والنهي عن المنكر
985,327,ways-of-electing-the-supreme-muslim-imam-ruler,Ways of Electing the Supreme Muslim Imam (Ruler),طرق اختيار الإمام للإمامة الكبرى
986,327,requirements-of-the-supreme-imamate-leadership,Requirements of the Supreme Imamate (Leadership),شروط الإمامة العظمى
987,327,duties-of-the-imam,Duties of the Imam,واجبات الإمام
988,327,imams-rights-over-the-subjects,Imam's Rights over the Subjects,حق الإمام على الرعية
989,327,rebelling-against-the-muslim-ruler,Rebelling against the Muslim Ruler,الخروج على الإمام
990,327,international-relations-in-islam,International Relations in Islam,العلاقات الدولية في الإسلام
991,327,consultation-system-in-islam,Consultation System in Islam,نظام الشورى في الإسلام
992,328,islamic-civilization,Islamic Civilization,الحضارة الإسلامية
993,7,prophets-biography,Prophet's Biography,السيرة النبوية
994,7,history,History,التاريخ
995,367,prophets-lineage,Prophet's Lineage,نسبه صلى الله عليه وسلم
996,367,prophets-wives-and-family-issues,Prophet's Wives and Family Issues,زوجاته صلى الله عليه وسلم وأحوال بيت النبوة
997,367,prophets-children,Prophet's Children,أولاده صلى الله عليه وسلم
998,367,prophets-servants,Prophet's Servants,خدمه صلى الله عليه وسلم
999,367,prophets-life-before-mission,Prophet's Life before Mission,حياته قبل البعثة صلى الله عليه وسلم
1000,367,prophets-mission,Prophet's Mission,مبعثه صلى الله عليه وسلم
1001,367,the-makkan-period,The Makkan Period,العهد المكي
1002,367,the-emigration-hijrah,The Emigration (Hijrah),الهجرة
1003,367,the-madinan-period,The Madinan Period,العهد المدني
1004,367,prophets-battles-and-expeditions,Prophet's Battles and Expeditions,غزواته وسراياه صلى الله عليه وسلم
1005,367,prophets-correspondences,Prophet's Correspondences,مكاتباته ومراسلاته صلى الله عليه وسلم
1006,367,prophets-death,Prophet's Death,وفاته صلى الله عليه وسلم
1007,367,muhammadan-qualities,Muhammadan Qualities,الشمائل المحمدية
1008,368,stories-and-conditions-of-pre-islamic-nations,Stories and Conditions of Pre-Islamic Nations,قصص وأحوال الأمم السابقة
1009,368,history-of-makkah;-madinah;-and-the-aqsa-jerusalem,History of Makkah; Madinah; and the Aqsa (Jerusalem),تاريخ مكة والمدينة والأقصى
1010,368,wars-and-battles,Wars and Battles,الحروب والغزوات
1011,368,biographies-of-famous-figures,Biographies (of Famous Figures),التراجم وسير الأعلام
1012,368,countries-and-figures,Countries and Figures,البلدان والأعلام
1013,368,periodical-occasions,Periodical Occasions,مناسبات دورية
1014,100,ahl-us-sunnahs-sunni-stance-on-religious-innovators,Ahl-us-Sunnah's (Sunni) Stance on Religious Innovators,موقف أهل السنة من أهل البدع
1015,133,rulings-of-water,Rulings of Water,أحكام المياه
1016,133,removing-impurities,Removing Impurities,إزالة النجاسات
1017,133,utensils,Utensils,الآنية
1018,133,toilet-manners,Toilet Manners,آداب قضاء الحاجة
1019,133,natural-cleanliness-practices,Natural Cleanliness Practices,سنن الفطرة
1020,133,ablution,Ablution,الوضوء
1021,133,ritual-bath,Ritual Bath,الغسل
1022,133,dry-ablution,Dry Ablution,التيمم
1023,133,menses;-postpartum-bleeding;-extra-menses-bleeding,Menses; Postpartum Bleeding; Extra-Menses Bleeding,الحيض والنفاس والاستحاضة
1024,437,excellence-of-ablution,Excellence of Ablution,فضل الوضوء
1025,437,pillars-of-ablution,Pillars of Ablution,أركان الوضوء
1026,437,recommended-acts-and-manners-of-ablution,Recommended Acts and Manners of Ablution,سنن وآداب الوضوء
1027,437,method-of-ablution,Method of Ablution,صفة الوضوء
1028,437,nullifiers-of-ablution,Nullifiers of Ablution,نواقض الوضوء
1029,438,rulings-of-the-ritual-bath,Rulings of the Ritual Bath,أحكام الغسل
1030,438,causes-of-obligatory-ritual-bath,Causes of Obligatory Ritual Bath,موجبات الغسل
1031,438,recommended-manners-of-the-ritual-bath,Recommended Manners of the Ritual Bath,سنن وآداب الغسل
1032,134,obligation-of-prayer-and-ruling-on-its-abandoner,Obligation of Prayer and Ruling on Its Abandoner,وجوب الصلاة وحكم تاركها
1033,134,virtue-of-prayer,Virtue of Prayer,فضل الصلاة
1034,134,the-azan-and-iqaamah,The Azan and Iqaamah,الأذان والإقامة
1035,134,times-not-to-pray,Times Not to Pray,أوقات النهي عن الصلاة
1036,134,conditions-of-prayer,Conditions of Prayer,شروط الصلاة
1037,134,pillars-of-prayer,Pillars of Prayer,أركان الصلاة
1038,134,obligatory-acts-of-prayer,Obligatory Acts of Prayer,واجبات الصلاة
1039,134,recommended-acts-of-prayer,Recommended Acts of Prayer,سنن الصلاة
1040,134,method-of-prayer,Method of Prayer,صفة الصلاة
1041,134,dhikr-invocation-during-prayer,Dhikr (Invocation) during Prayer,أذكار الصلاة
1042,134,nullifiers-of-prayer,Nullifiers of Prayer,مبطلات الصلاة
1043,134,mistakes-during-prayer,Mistakes during Prayer,أخطاء المصلين
1044,134,prostration-of-forgetfulness;-recitation;-gratitude,Prostration of Forgetfulness; Recitation; Gratitude,سجود السهو والتلاوة والشكر
1045,134,virtue-and-rulings-of-congregational-prayer,Virtue and Rulings of Congregational Prayer,فضل صلاة الجماعة وأحكامها
1046,134,rulings-of-the-imam-and-followers-in-prayer,Rulings of the Imam and Followers in Prayer,أحكام الإمام والمأموم
1047,134,prayer-of-the-people-with-excuses,Prayer of the People with Excuses,صلاة أهل الأعذار
1048,134,jumu‘ah-friday-prayer,Jumu‘ah (Friday) Prayer,صلاة الجمعة
1049,134,voluntary-prayer,Voluntary Prayer,صلاة التطوع
1050,134,prayer-of-fear,Prayer of Fear,صلاة الخوف
1051,472,virtue-of-friday,Virtue of Friday,فضل يوم الجمعة
1052,472,merit-of-jumu‘ah-prayer,Merit of Jumu‘ah Prayer,فضل صلاة الجمعة
1053,472,rulings-of-jumu‘ah-prayer,Rulings of Jumu‘ah Prayer,أحكام صلاة الجمعة
1054,472,rulings-of-jumu‘ah-sermon,Rulings of Jumu‘ah Sermon,أحكام خطبة الجمعة
1055,473,virtue-of-voluntary-prayer,Virtue of Voluntary Prayer,فضل صلاة التطوع
1056,473,regular-sunnah-recommended-prayers,Regular Sunnah (Recommended) Prayers,السنن الرواتب
1057,473,voluntary-night-prayer-qiyaam,Voluntary Night Prayer (Qiyaam),قيام الليل
1058,473,prayer-of-the-two-eids,Prayer of the Two Eids,صلاة العيدين
1059,134,prayer-of-the-solar-and-lunar-eclipse,Prayer of the Solar and Lunar Eclipse,صلاة الكسوف والخسوف
1060,134,rain-seeking-prayer,Rain-Seeking Prayer,صلاة الاستسقاء
1061,473,forenoon-prayer,Forenoon Prayer,صلاة الضحى
1062,473,guidance-seeking-prayer,Guidance-Seeking Prayer,صلاة الاستخارة
1063,135,death-and-its-rulings,Death and Its Rulings,الموت وأحكامه
1064,135,washing-the-dead,Washing the Dead,غسل الميت
1065,135,method-of-praying-over-the-dead,Method of Praying over the Dead,صفة الصلاة على الميت
1066,135,carrying-and-burying-the-dead,Carrying and Burying the Dead,حمل الميت ودفنه
1067,135,consolation,Consolation,التعزية
1068,135,visiting-the-graves,Visiting the Graves,زيارة القبور
1069,135,doing-good-deeds-on-behalf-of-the-deceased-and-gifting-them-the-reward,Doing Good Deeds on behalf of the Deceased and Gifting them the Reward,الأعمال الصالحة عن الميت وإهداء الثواب له
1070,136,obligation-of-zakah-and-ruling-of-its-abandoning,Obligation of Zakah and Ruling of Its Abandoning,وجوب الزكاة وحكم تاركها
1071,136,rulings-and-issues-of-zakah,Rulings and Issues of Zakah,أحكام ومسائل الزكاة
1072,136,zakah-of-gold-and-silver,Zakah of Gold and Silver,زكاة النقدين
1073,136,zakah-of-livestock,Zakah of Livestock,زكاة بهيمة الأنعام
1074,136,zakah-of-land-produce,Zakah of Land Produce,زكاة الخارج من الأرض
1075,136,zakat-ul-fitr-minor-eid-charity,Zakat-ul-Fitr (Minor-Eid Charity),زكاة الفطر
1076,136,channels-of-zakah-people-who-receive-zakah,Channels of Zakah (People Who Receive Zakah),مصارف الزكاة
1077,136,voluntary-charity,Voluntary Charity,صدقة التطوع
1078,137,obligation-of-fasting-and-ruling-of-its-abandoning,Obligation of Fasting and Ruling of Its Abandoning,وجوب الصيام وحكم تاركه
1079,137,virtue-of-fasting,Virtue of Fasting,فضل الصيام
1080,137,recommended-acts-of-fasting,Recommended Acts of Fasting,سنن الصيام
1081,137,sighting-the-crescent,Sighting the Crescent,رؤية الهلال
1082,137,fasting-on-the-day-of-doubt,Fasting on the Day of Doubt,صيام يوم الشك
1083,137,fasting-missed-days-of-ramadaan,Fasting Missed Days of Ramadaan,قضاء الصيام
1084,137,fasting-of-people-with-excuses,Fasting of People with Excuses,صيام أهل الأعذار
1085,137,nullifiers-of-fasting,Nullifiers of Fasting,مفسدات الصيام
1086,137,fasting-obligations,Fasting Obligations,ما يجب على الصائم
1087,137,what-is-permissible-for-the-fasting-person,What is Permissible for the Fasting Person,ما يجوز للصائم
1088,137,fasting-prohibitions,Fasting Prohibitions,ما يحرم على الصائم
1089,137,what-is-disliked-for-the-fasting-person,What is Disliked for the Fasting Person,ما يكره للصائم
1090,137,voluntary-fasting,Voluntary Fasting,صيام التطوع
1091,137,seclusion-for-worship-in-ramadaan-i‘tikaaf,Seclusion for Worship in Ramadaan (I‘tikaaf),الاعتكاف
1092,137,last-ten-days-of-ramadaan,Last Ten Days of Ramadaan,العشر الأواخر من رمضان
1093,138,obligation-of-hajj-and-‘umrah-and-ruling-of-its-abandoner,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,وجوب الحج والعمرة وحكم تاركهما
1094,138,virtue-of-hajj-and-umrah,Virtue of Hajj and Umrah,فضل الحج والعمرة
1095,138,first-ten-days-of-dhul-hijjah-twelfth-lunar-month,First Ten Days of Dhul Hijjah (Twelfth Lunar Month),العشر من ذي الحجة
1096,138,rulings-of-al-masjid-al-haraam;-the-prophets-mosque;-and-the-aqsa-mosque,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,أحكام المسجد الحرام والمسجد النبوي وبيت المقدس
1097,138,rulings-of-ihraam-the-ritual-state-of-consecration,Rulings of Ihraam (the Ritual State of Consecration),أحكام الإحرام
1098,138,prohibitions-of-ihraam,Prohibitions of Ihraam,محظورات الإحرام
1099,138,ransom-and-hunting-expiation,Ransom and Hunting Expiation,الفدية وجزاء الصيد
1100,138,types-of-rituals-pilgrimage,Types of Rituals (Pilgrimage),أنواع النسك
1101,138,obligations-of-‘umrah,Obligations of ‘Umrah,واجبات العمرة
1102,138,how-to-make-hajj-pilgrimage,How to Make Hajj (Pilgrimage),صفة الحج
1103,138,pillars-of-hajj-pilgrimage,Pillars of Hajj (Pilgrimage),أركان الحج
1104,138,obligations-of-hajj-pilgrimage,Obligations of Hajj (Pilgrimage),واجبات الحج
1105,138,rulings-of-the-prophets-mosque,Rulings of the Prophet's Mosque,أحكام المسجد النبوي
1106,138,sacrificial-animals-and-expiations,Sacrificial Animals and Expiations,الهدي والكفارات
1107,138,sacrifice,Sacrifice,الأضحية
1108,138,rulings-and-issues-of-hajj-and-‘umrah,Rulings and Issues of Hajj and ‘Umrah,أحكام ومسائل الحج والعمرة
1109,139,ruling-of-jihad,Ruling of Jihad,حكم الجهاد
1110,139,excellence-of-jihad,Excellence of Jihad,فضل الجهاد
1111,139,categories-of-jihad,Categories of Jihad,أقسام الجهاد
1112,139,rulings-and-issues-of-jihad,Rulings and Issues of Jihad,أحكام ومسائل الجهاد
1113,139,manners-of-jihad,Manners of Jihad,آداب الجهاد
1114,139,rulings-of-non-muslims-living-in-muslim-country,Rulings of Non-Muslims Living in Muslim Country,أحكام أهل الذمة
1115,139,rulings-of-truce-and-security,Rulings of Truce and Security,أحكام الهدنة والأمان
1116,139,rulings-of-terrorism;-assassinations;-and-explosions,Rulings of Terrorism; Assassinations; and Explosions,أحكام الإرهاب والاغتيالات والتفجيرات
1117,140,forbidden-sales,Forbidden Sales,البيوع المحرمة
1118,169,oaths,Oaths,الأيمان
1119,169,vows,Vows,النذور
1120,191,excellence-of-marriage,Excellence of Marriage,فضل النكاح
1121,191,manners-of-marriage,Manners of Marriage,آداب النكاح
